text,rating,source,brand,date,doc_id
Any 105kg or 230lb runners have any positive reviews on the Zoom Fly 6?,0,YouTube,Nike,2026-03-08,YT_1
"Bought blue pegasus 39(got at almost half price of pegasus 41). Should I return it or keep the 39? Also confused between black Quest 6 and pegasus 41, getting both at same price? Please help.",1,YouTube,Nike,2026-03-05,YT_2
"I love them, the Vaporfly 4....has somebody a voucher code for me for Nike Europe? They are quite expensive 😞",0,YouTube,Nike,2026-02-24,YT_3
"weird question but one i feel could be helpful to know for buyers, what width is your foot? so when you say its narrow etc for you we can compare. thanks",0,YouTube,Nike,2026-02-07,YT_4
"Hey im a complete beginner like Run 5 mins and Walk 2 mins for 6 kms. Absolute newbie. In ur opinion, which is better for me? Vomero 18 (basic) or Pegasus Plus?? I can get only one for around 80$ (both of them, 78 and 81) in my country.<br><br>Right now im using whatever old shoes i have, adidas lite racer i think? And roshe runs which is falling apart, and i have foot pains, ankle pains, all sorts of pain. <br><br>However i am enjoying my routine and hope to continue for better health and feeling good after a run. Just need help in choosing a better shoe for my needs, i dont know much about foams? And with so many options i dont know which one is for me so i just picked the 2 options that are under/around 80$. Please help, Thanks!",0,YouTube,Nike,2026-01-31,YT_5
"I got the regular Pegs 41 for my casual runs 2-3 times a week. It was one of the best options for me because I really cannot stand this new trend of high stacked shoes, the whole fad and excessive cushioning look and feel ridiculous to me.",1,YouTube,Nike,2026-01-28,YT_6
Where is the rival fly?,0,YouTube,Nike,2026-01-10,YT_7
Just got the neon pink pegasus 41 because they had that color $50 off. First ever actual running shoe and i really like them. Nice to find a shoe that did not cost a fortune,1,YouTube,Nike,2026-01-08,YT_8
"Nike playing catch up to Adidas and, as always, Asics, and Puma in my opinion. Never been a fan of the US brands.",0,YouTube,Nike,2025-12-24,YT_9
What’s best for 2-5 mile runs,0,YouTube,Nike,2025-12-17,YT_10
"Thank you a very nice review. I also want to train for a marathon. I love the Alphafly 3, do you think it can be my main training shoe? Then I can use it fur the marathon?",0,YouTube,Nike,2025-12-14,YT_11
"Thanks for this great review. Which shoes would you suggest to run in snow? I leave in Montreal and now it is time for my cold runs and I currently use the Gel Nimbus 7 for my regular runs (usually 3 times per week, 5 to 10k). Thanks again and greetings from Montreal 🙂",0,YouTube,Nike,2025-12-04,YT_12
vomero 18 feel amazing 🔥,1,YouTube,Nike,2025-12-01,YT_13
Invincible 3 was the worse shoe purchase I did in my life I think,0,YouTube,Nike,2025-11-10,YT_14
top notch review.,0,YouTube,Nike,2025-11-05,YT_15
I need size up in Nike Pegasus Plus. I realize now everyone is really different.,7,YouTube,Nike,2025-10-31,YT_16
"Pegasus has no support for my heel, great and comfy for skipping but overrated for running.",0,YouTube,Nike,2025-10-29,YT_17
Could a Vomero 18 with a 3rd party insole with carbon fiber plate result to competitive short runs 😅 . Not even sure this is a valid question. Just want to understand more.,0,YouTube,Nike,2025-10-21,YT_18
You forgot about the quest line up and the revolution line up,0,YouTube,Nike,2025-10-15,YT_19
where does he get the money from to buy all these shoes,7,YouTube,Nike,2025-10-13,YT_20
I love vomero 18!!!,0,YouTube,Nike,2025-10-10,YT_21
What do you think about the infinity run 4?,0,YouTube,Nike,2025-10-08,YT_22
"Ciao. Hai mai provato le Nike Vomero 14? Se si, sapresti indicarmi quali sono le scarpe che attualmente gli assomigliano di più? Attualmente ho le zoomfly6, le Mizuno neo zen e le Adidas adizero evo sl.. sono tutte buone scarpe ma sento troppo la mancanza di sensibilità al terreno che avevo con le Vomero 14 😢",0,YouTube,Nike,2025-10-06,YT_23
what model is this?,0,YouTube,Nike,2025-09-27,YT_24
I’m more of a stocky cross trainer with flat wide feet only running 10-15k a week. Would the Pegaus Plus or Vaporfly be my best bet? Some insight from those more experienced would be appreciated.,0,YouTube,Nike,2025-09-25,YT_25
Great video thanks I choise now the riht NIKE you help me a lot 👍👍👍,0,YouTube,Nike,2025-09-25,YT_26
"What Nike shoe do you think is ideal for an 80 mile road ultra? The Pegasus plus? It’s a self supported run, not a race",0,YouTube,Nike,2025-09-08,YT_27
"I personally feel Alpha fly 3 toe part from inside, the feet can come outside, feels old the material being weak and allowing my toe of foot to move even forward. Did you ever feel that?",0,YouTube,Nike,2025-09-07,YT_28
"I love that in a lot of your videos you run along my half marathon route Greenwich to the Thames barrier and back again, often filming in front of the driving range, hope to bump into you there one day!",2,YouTube,Nike,2025-09-03,YT_29
"I’m looking for a pair for long runs and marathon (4 hours marathon).  I didn’t like the feel of the vaporfly 3 with carbon plate (it was hard on my achillis and calves).  Which one you recommand?  Don’t need too much stability, I am a front/mid foot striker, quite heavy at 190 and I want to break 4 hours (something fast and reactive!!!)",0,YouTube,Nike,2025-08-31,YT_30
you look like brad pitt !!!!! you are brad pitt the economic edition !!!!!,0,YouTube,Nike,2025-08-30,YT_31
"bru... the Pegasus premium is not heavy in any way, if anything there very bouncy and responsive",0,YouTube,Nike,2025-08-16,YT_32
"I bought a pair of trainers that because of no fault of mine,just shoddy workmanship they became unwareable even though they had loads of life left in them,and was well looked after,Nike offer a garentee that isn&#39;t worth having although I didn&#39;t have a receipt I could prove by my card payment and the Nike store sending proof of me buying them still wasn&#39;t good enough to warrant the guarantee.<br><br>They know that people won&#39;t keep a 4inch square piece of paper,that was enough for them to void the garentee,and get out of repairing or replacing there shoddy workmanship,and for a company as big as Nike just goes to show there customer care,and how greedy a big company like Nike really operate.<br><br>Given the run around, answered all there questions, provided as much as I could,I will never buy a Nike product as long as I live,my advice if you want Nike,buy counterfeit it&#39;s probably made better and you will get what you pay for...  <br><br>For a multi million pound business to work it&#39;s way out of a £70 pair of shoddy made trainers is truly shocking,and shows nothing but greed...",0,YouTube,Nike,2025-08-12,YT_33
"Don’t like the Nike Pegasus plus at all, to small for my feet and to soft of a sole for me es a heavy runner, bad stability and to expensive.<br>Nike vomero 18 is a nice shoe but too narrow at the toes for me but love the sole so much more than the Pegasus plus.<br>Nike zoom fly 6 is for mee the best running shoe for me fits perfect on my feet and the response you get is amazing, price, durability and quality is awesome. My favourite shoe till now !!!<br>Nike zegama trail 2 also an amazing shoe for me, fits perfect and runs great, durability is amazing.<br>Nike Pegasus trail 5 also a shoe that works for me as well, I do my strength training with them, did run on trails and on the road even did my first hyrox with them and no issues at all. <br>Nike invincible 3 are ok but also to soft of a sole for me so again not for my feet and body weight.",0,YouTube,Nike,2025-08-10,YT_34
"Zoom fly 6 is my go to for everything now! I don&#39;t agree that it isn&#39;t a good walking shoes. I feel like I&#39;m on cloud walking with them. I loved the 4, hated the 5 and I&#39;m glad Nike made a good one again with the 6.",2,YouTube,Nike,2025-08-09,YT_35
I think I&#39;m going to order that shirt you are wearing. It looks super nice. Any other recommendations in your collection ?,0,YouTube,Nike,2025-08-01,YT_36
Bro we cannot afford  these shoes💔,1,YouTube,Nike,2025-07-20,YT_37
Vomero 18 looks so big.,0,YouTube,Nike,2025-07-17,YT_38
as someone new to running would the zoom fly 6 be overkill for just running around the block?,0,YouTube,Nike,2025-07-08,YT_39
É bom comprar na loja da Nike pela internet para ter certeza que é Original mesmo né!?,0,YouTube,Nike,2025-07-01,YT_40
You missed the Zoom Rival fly 4,2,YouTube,Nike,2025-06-27,YT_41
日本語翻訳を入れてくれてありがとう😊,0,YouTube,Nike,2025-06-24,YT_42
What do you recommend for easy runs? I tried running the Pegasus 41 but did not like them too much on the first try.,0,YouTube,Nike,2025-06-22,YT_43
I HAVE GOT THE INVINCIBLE 3 BUT YOU NEED THE EXACT NUMBER WOULD MAKE A DIFFERENCE,1,YouTube,Nike,2025-06-16,YT_44
I’ve recently started training for a 10k and love my Vomero 18. I always ran in a Pegasus but once jumping into the Vomero it’s been a game changer! Great for new runners and experienced runners and will do anything you throw at it!,15,YouTube,Nike,2025-06-12,YT_45
"Hi, greate review, coming from the now discontinued temp next%(and Asics novablast 5), really did like the tempo but on my last pair, witch would you recommend after that? looking at the Zoom Fly 6 now.",0,YouTube,Nike,2025-06-10,YT_46
love the pegasus premium,6,YouTube,Nike,2025-06-10,YT_47
Pegasus 41 looks nice.,1,YouTube,Nike,2025-06-09,YT_48
"I have the Vomero 18, and am trying to get my running up to par for Hyrox. Should I get another shoe for temp training? or stick with vomero for all of my running hyrox training",0,YouTube,Nike,2025-06-07,YT_49
Hey Ben what do you recommend between vomero 17 and noosa tri 16 for daily run??,0,YouTube,Nike,2025-06-06,YT_50
Have you tried the revolution 8? For less then 50% of the Vomero just interested if it’s worth a spin. Thanks for the video,1,YouTube,Nike,2025-06-01,YT_51
"As a heavier runner, the Invincible 3 has been absolutely incredible.  I bought the shoes when I weighed 330lbs on February 3rd of this year, and they’ve helped me lose 60lbs (270lbs) in just less than 4 months.  My current 1 Mile run time is <a href=""https://www.youtube.com/watch?v=qO27nI7Cm-g&amp;t=518"">8:38</a>!<br><br>I’ve put approximately 130 Miles on them, now averaging around 10 - 12 Miles a week and counting. They still feel just as comfortable as the first day I bought them!  Never had any issues with shin splints, knee or hip pain etc.  HIGHLY recommended for anyone, including heavier runners!!",32,YouTube,Nike,2025-05-31,YT_52
vomero 18 all black just dropped and copped em 👀❤️,0,YouTube,Nike,2025-05-30,YT_53
"Only nike worth buying are the raceday shoes, everything else is overpriced",0,YouTube,Nike,2025-05-30,YT_54
Nice review!<br><br>Now do all of that again but comparing them to Hoka shoes in class.,0,YouTube,Nike,2025-05-29,YT_55
