"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Awesome! Don't #trade with #America! Let their #economy implode! 

#uspolitics #Trump #tariffs #sanctions #eu… https://t.co/x2X8HIpLaD",FALSE,0,NA,2018-12-28 01:21:00,TRUE,NA,"1078460777441517568",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","chrisoldcorn",0,FALSE,FALSE,NA,NA
"2","you say that like it would be a bad thing......:)
but seriously, even if you are pro #brexit surely staying in the… https://t.co/zAEJ4kZGT9",FALSE,0,NA,2018-12-27 20:45:34,TRUE,NA,"1078391459391463427",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KirsteinRummery",0,FALSE,FALSE,NA,NA
"3","RT @anto_schiavo: [Data Thursday] @atomico in partnership with @SlushHQ and @Orrick released the most comprehensive data-driven analysis on…",FALSE,0,NA,2018-12-27 20:15:48,FALSE,NA,"1078383968871956481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Explo_ai",1,TRUE,FALSE,NA,NA
"4","RT @DalbidEU: @Doozy_45 @gavindjharper So, no chance of #WA agreement approval in the Commons. Widespread rejection of a #NoDeal. #Norway #…",FALSE,0,NA,2018-12-27 20:03:39,FALSE,NA,"1078380913279537153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Doozy_45",3,TRUE,FALSE,NA,NA
"5","@Doozy_45 @gavindjharper So, no chance of #WA agreement approval in the Commons. Widespread rejection of a #NoDeal.… https://t.co/yQBsX61jkH",FALSE,2,"Doozy_45",2018-12-27 19:45:44,TRUE,"1077275469974773762","1078376404595736578","863377035661647877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DalbidEU",3,FALSE,FALSE,NA,NA
"6","#research #economy #eu #europeancommission #eurozone #euro #gdp #economicoutlook #economicgrowth… https://t.co/QjIQz6F1Um",FALSE,1,NA,2018-12-27 19:28:35,TRUE,NA,"1078372087209676801",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","martijnoostveen",0,FALSE,FALSE,NA,NA
"7","RT @laure_app: Understanding the #Political #Economy of #Economic #Sanctions  &amp; #Pressures in #TheDRCongo #DRC #RDC #TheDRC 
#UN #EU #US #B…",FALSE,0,NA,2018-12-27 17:14:27,FALSE,NA,"1078338330767568896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lubefu2011",1,TRUE,FALSE,NA,NA
"8","Understanding the #Political #Economy of #Economic #Sanctions  &amp; #Pressures in #TheDRCongo #DRC #RDC #TheDRC 
#UN… https://t.co/wN7yR3SlVj",FALSE,2,NA,2018-12-27 17:07:55,TRUE,NA,"1078336689100197888",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","laure_app",1,FALSE,FALSE,NA,NA
"9","If you don't think the world is in some serious trouble - you're not paying attention!

Outside the #EU #Britain fa… https://t.co/EGpsA0AX1u",FALSE,0,NA,2018-12-27 16:42:51,TRUE,NA,"1078330378715160576",NA,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","CaringInfo",0,FALSE,FALSE,NA,NA
"10","RT @MyDashub: Today #EU more https://t.co/ojJ1p7mrvi #to #ecb #https #in #html #2018 #eu_events #how #about #economy #Environment #register…",FALSE,0,NA,2018-12-27 16:16:30,FALSE,NA,"1078323746778370050",NA,"<a href=""http://labnol.com"" rel=""nofollow"">HTMLv2</a>","html_css_bot",1,TRUE,FALSE,NA,NA
